GROUP,ID,VAT1,TXNDC5,TUBB4B,TOM1,TOLLIP,TMEM30A,TMC6,TCIRG1,SYNGR1,SVIP,STXBP2,STK11IP,SLPI,SLC27A2,SERPINB6,S100P,S100A9,RAB4B,RAB24,QSOX1,PYGB,PYCARD,PTPRN2,PTPN6,PTGES2,PSMC3,PSMB1,PSMA2,PRKCD,PPIE,PKP1,PGRMC1,PGM1,PFKL,PDXK,PDAP1,ORMDL3,NME2,NIT2,NDUFC2,NBEAL2,NAPRT,MVP,MLEC,MIF,METTL7A,MAN2B1,LTF,LRG1,LAMTOR1,LAMP1,JUNB,JUN,IMPDH2,IMPDH1,HSPA1B,HSPA1A,HMOX2,GUSB,GSTP1,GSDMD,GALNS,GAA,FUCA1,FOS,ENPP4,EEF2,DPP7,DNASE1L1,DNAJC5,DGAT1,DDOST,DBNL,CYBA,CXCL8,CTSH,CTSD,CST3,COMMD3,CKAP4,CEP290,CD59,CD14,CAT,CANT1,ATP8B4,ATP6V0C,APRT,APEH,AP2A2,ANPEP,AMPD3,ALDOC,ALDH3B1,AGPAT2,AGA,ACTR1B,ACAA1,ABCA13
A,314,7,30,116,75,14,41,15,92,3,8,53,10,89,15,0,18,295,9,73,51,8,5,10,40,3,8,13,18,5,14,2,10,20,13,48,4,2,14,10,6,44,9,62,50,4,52,29,1,71,12,31,223,57,13,7,206,137,7,15,21,8,18,9,14,916,63,93,5,2,35,4,13,50,25,1103,36,160,90,5,45,45,36,14,5,10,30,60,6,17,16,63,54,2,99,13,10,6,54,488
A,315,0,0,37,3,0,9,3,2,9,33,2,25,44,0,0,3,3,12,31,0,0,4,5,1,0,0,48,0,0,0,3,10,1,1,83,0,1,53,0,1,1,0,4,15,31,7,0,0,1,15,4,29,31,0,1,31,0,4,1,69,0,0,0,0,14,0,234,0,0,4,0,0,11,0,28,22,21,1,0,34,0,23,0,0,14,0,9,31,3,29,8,6,1,6,0,0,11,0,101
A,316,0,8,60,17,8,15,4,4,0,8,4,1,32,4,5,9,15,5,1,7,9,3,1,5,1,9,7,7,2,3,9,1,10,2,26,2,3,9,3,4,0,5,5,17,0,13,7,8,1,4,10,21,11,13,2,9,4,13,0,24,0,7,5,7,52,10,105,1,4,7,0,0,18,0,59,0,51,21,1,3,10,17,5,5,0,3,20,0,8,3,17,10,8,41,0,0,0,7,111
A,317,3,0,8,0,0,4,1,0,0,3,0,0,36,18,0,2,11,0,0,0,4,0,16,1,0,11,18,16,0,5,2,8,2,0,1,0,0,7,0,4,1,0,0,34,0,18,0,0,0,5,0,0,3,0,0,0,7,0,4,2,0,0,0,10,12,12,23,0,14,1,0,0,2,0,30,0,7,4,0,0,41,3,0,7,2,0,1,0,3,4,0,3,0,0,1,7,0,8,88
A,318,0,0,11,0,2,0,3,0,0,2,0,0,7,4,2,1,12,0,1,0,0,4,0,11,0,2,0,0,0,0,0,0,1,0,4,0,0,1,1,3,0,0,6,1,0,1,0,11,0,1,1,4,0,0,0,0,8,0,0,20,1,0,0,0,0,3,18,0,0,3,0,0,0,0,8,0,4,3,0,2,3,0,0,5,0,1,12,0,2,6,0,8,0,14,0,0,0,0,21
A,319,0,0,11,0,0,0,0,0,0,0,1,0,9,0,0,0,2,0,0,0,0,0,5,0,0,0,6,8,8,5,1,0,0,0,5,0,0,0,0,0,0,0,0,8,0,23,0,0,15,0,0,3,4,3,0,0,0,7,0,0,15,0,0,0,0,0,28,0,0,0,0,0,0,0,83,0,6,0,0,0,0,0,0,0,0,6,0,0,0,5,0,3,3,0,0,4,12,0,0
A,320,0,22,8,4,0,101,12,1,0,47,30,0,34,60,55,0,0,19,4,9,0,0,0,34,0,0,28,36,24,11,0,54,14,6,12,9,0,2,36,5,6,0,8,52,0,104,0,0,0,5,8,0,7,14,0,0,16,11,27,7,0,15,0,39,13,107,23,2,0,0,0,2,23,0,21,1,0,0,14,27,68,5,0,17,0,19,4,0,7,0,8,13,6,43,0,10,8,18,1483
A,321,0,7,10,6,2,13,0,4,0,5,3,0,2,0,0,7,30,0,0,1,3,3,1,5,0,1,2,2,5,0,1,6,0,0,3,0,5,3,0,2,4,0,2,1,1,4,1,4,0,5,3,12,2,0,0,5,0,0,2,6,0,1,0,3,42,8,41,0,0,7,0,0,16,5,104,2,15,7,0,0,2,1,8,1,0,1,2,1,5,0,4,4,0,11,0,3,0,2,51
A,322,0,3,3,4,0,4,3,7,0,0,0,0,1,9,1,11,25,0,0,0,0,0,1,0,0,0,13,17,0,1,0,0,2,0,6,1,0,0,10,0,0,0,2,2,0,13,0,0,4,0,2,0,0,8,0,0,13,0,0,2,2,0,0,0,19,11,4,0,0,0,0,0,0,0,71,1,0,11,0,0,17,0,0,0,4,0,3,0,0,0,1,3,0,0,0,0,0,0,37
A,323,0,0,0,0,0,92,0,0,0,199,0,0,274,45,0,0,30,0,0,0,0,0,0,0,0,121,0,23,0,7,0,0,0,0,0,0,66,0,0,0,93,0,0,57,0,44,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,73,0,0,0,14,0,55,66,0,162,0,3,5,0,0,155,146,0,0,0,0,5,0,0,0,90,0,0,66,0,0,0,80,421
